# TERNA average load,,,,,,,,,,,,,,,,,,,,,,,,
# EOP or BOP unclear,,,,,,,,,,,,,,,,,,,,,,,,
# MW,,,,,,,,,,,,,,,,,,,,,,,,
# column is hour of day,,,,,,,,,,,,,,,,,,,,,,,,
Datestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1/1/2006,27190,25782,24354,23340,22786,22965,23605,23880,24933,26918,28748,29965,29118,27513,27395,27776,30763,32602,33478,33536,32778,31285,29275,26557
1/2/2006,24488,23050,22558,22446,23259,25859,30566,35043,39427,41456,41975,41677,39823,39785,40513,41171,45000,46014,45535,42869,40550,37386,34061,30892
1/3/2006,28459,27217,26527,26511,27125,29452,34095,38914,43151,44855,44732,43710,41293,41441,42231,42719,46119,47777,46844,44512,41821,38331,35128,31741
1/4/2006,29211,27713,27128,27017,27557,29745,34875,39798,43695,45081,44932,44302,41822,41633,42253,43215,46366,48330,47429,45069,42397,39010,35760,32367
1/5/2006,29763,28210,27609,27296,27888,30012,34791,40252,44138,45659,45260,44325,41964,41807,42617,43208,46196,47626,46989,44375,41683,38441,35304,32147
1/6/2006,29443,27922,26978,26367,26385,26429,27955,29015,31236,33281,33950,33750,32483,30829,30616,31012,33779,36684,37332,36952,36137,34310,32062,29789
1/7/2006,28111,25858,25028,24663,25315,26502,29431,31690,34872,36846,36535,36093,34897,33881,34148,34573,37824,40773,41359,40071,37930,35089,32934,30085
1/8/2006,27743,26104,25122,24665,24621,25401,26658,27718,30052,32292,33158,33901,32479,31305,31493,31625,34243,37111,37907,37830,36687,34597,32305,28922
1/9/2006,26740,25748,25188,25190,26394,30050,38165,45315,48988,49769,49424,48275,45608,46970,48088,48638,51319,52778,51114,48158,45484,41609,37571,33738
1/10/2006,31358,29900,29446,29639,30356,32892,40409,47262,50750,51286,50632,48933,45950,47262,48514,49364,51971,53314,52090,49056,46356,42535,38525,34685
1/11/2006,32140,30912,30191,30174,30733,33641,41102,48028,51450,51995,51325,49773,46921,47657,48799,49636,52107,53646,52242,49077,46067,42536,38463,34861
1/12/2006,32384,30953,30422,30135,30833,33750,41129,47724,51497,51940,51490,50055,46611,47648,48890,49369,51706,53631,52063,49104,46441,42890,39128,35452
1/13/2006,32601,31132,30494,30200,30914,33660,41020,47506,51132,51518,51112,49385,46181,46917,48091,48689,50836,52973,51503,48428,45464,41690,37986,34394
1/14/2006,31687,30526,29516,29171,29651,30861,35310,39614,42268,43619,42734,40881,38172,37048,37337,37661,39686,43539,44085,42618,40004,37177,34875,32238
1/15/2006,29480,27609,26873,26265,26493,26849,28213,29514,32399,34865,35485,35702,34336,33036,32819,32890,34608,38248,39061,38677,37957,36015,33285,29788
1/16/2006,28024,27262,26667,26966,27935,31862,39865,47142,50900,51781,51807,50063,47268,48719,50037,50550,52595,53975,52469,49039,46485,42627,38543,34994
1/17/2006,32608,31238,30794,30754,31471,34208,41242,48575,52528,53099,52796,51398,48255,49290,50660,51479,53484,54395,52836,49384,46684,42656,38682,35172
1/18/2006,32364,30625,30078,29977,30658,33986,41283,48495,52263,53280,52687,51153,47950,48876,50008,50255,52809,53816,52656,49137,46123,42432,39091,35328
1/19/2006,32545,31206,30789,30495,31160,34134,41288,48537,51887,52623,52201,50354,47405,47734,48607,49518,51115,53666,52301,49299,46822,42953,39257,35417
1/20/2006,32982,31596,31084,31011,31727,34692,41771,48837,52230,52801,52324,50553,47271,48079,49208,49404,51001,53481,52532,49241,46251,42526,38861,35285
1/21/2006,32405,31139,30404,29935,30393,31462,35532,40218,43240,44404,43502,42062,38942,37293,37409,37467,39352,43462,43804,42250,39838,37045,34402,31621
1/22/2006,28919,27475,26654,26116,26162,26804,28000,29178,32333,34352,34908,35077,33523,32248,32005,31857,33354,37409,38547,38299,37779,35655,32939,29703
1/23/2006,27676,26981,26643,26722,27757,31566,39454,46499,50588,51389,51155,50015,47020,48471,49688,50387,51886,54080,52661,49271,47140,43013,38966,35524
1/24/2006,32655,31389,30919,30850,31542,34352,41463,48495,52666,53357,53038,51698,48388,49454,50538,50732,52281,55252,53561,50309,47512,43511,39347,35496
1/25/2006,33254,31889,31252,31058,31957,35005,42118,48629,52740,53758,53373,51634,48351,49330,50384,50999,52878,55538,54159,50682,47904,43705,39931,36223
1/26/2006,33486,32014,31523,31710,32029,34951,42056,48806,53056,54001,53761,52439,49191,50316,51637,52190,53432,54986,53160,50328,47586,43532,39765,35886
1/27/2006,33428,31877,31414,31278,31938,34218,41275,47431,51704,53192,53156,51877,48663,49105,49924,50278,51365,52899,51783,48908,45788,42049,38185,34723
1/28/2006,32043,30568,29880,29685,29651,30791,34906,38695,41972,43907,43434,41970,39338,37522,37550,37935,39454,43298,43672,42047,40346,36956,34147,31488
1/29/2006,28938,27384,26606,26205,26150,26974,28203,29342,31865,34271,35221,35560,34008,32414,32551,32213,33337,37134,38106,37838,37100,35247,32691,29610
1/30/2006,27722,26595,26461,26348,27648,31132,39308,45921,49787,50718,50340,49481,46837,47571,49042,49528,50894,52331,50894,48201,45666,41837,38056,34529
1/31/2006,32031,30084,29774,29745,30174,32900,39874,46188,50152,50829,50113,48731,45719,46473,47093,47447,48631,51760,50837,47811,45217,41350,37721,34296
2/1/2006,32563,30920,30489,30293,30930,33533,40515,47063,50160,50522,50006,48021,45253,46040,47040,47511,48274,52128,50963,48064,45285,41980,38311,34987
2/2/2006,32564,30920,30991,30908,31280,34195,41046,47629,50505,50590,49807,48040,45185,46031,46694,47293,47897,51586,51075,48206,45859,42364,38385,35370
2/3/2006,32603,31155,30586,30469,31322,33992,40689,47000,50614,51210,50255,48705,45833,46588,47583,47886,48409,52076,51241,48081,45518,41792,38176,34926
2/4/2006,32665,31227,30277,29897,30176,31587,35748,39645,42683,43429,42397,40592,37864,36310,36496,36652,37853,42390,43158,41665,39034,36231,33813,31220
2/5/2006,28864,27208,26483,25984,25906,26702,27963,29123,31779,33846,34210,34600,33064,31887,31467,31305,32148,36206,38129,37904,37367,35154,32621,29759
2/6/2006,27651,26951,26298,26452,27407,31259,39560,46051,49984,50613,50597,49018,46298,47681,48722,49257,49871,52925,51983,49044,46284,42103,38390,34946
2/7/2006,32000,31010,30445,30385,31433,34049,41240,47797,51914,52497,52226,50735,47725,48810,49773,50205,50954,53870,53185,50196,47415,43353,38982,35582
2/8/2006,32785,31495,31036,31002,31710,34631,41605,47777,52202,52846,52780,51264,48008,49075,50488,51289,51795,53695,52421,49531,46589,42673,38631,35330
2/9/2006,32524,31147,30711,30745,31535,34068,41475,47787,51558,52112,51458,49743,46779,47437,48755,49105,49750,52519,52255,49524,46962,43005,39231,35858
2/10/2006,32835,31461,30897,30889,31565,34296,41741,47863,51405,51967,51361,49738,46710,47088,48392,48456,48868,51780,51935,49059,46218,42395,38972,35249
2/11/2006,32394,31073,30526,29867,30269,31498,35375,39691,43007,44078,43177,41212,38666,36930,37048,36827,37655,42046,43949,42529,40441,37168,34692,31726
2/12/2006,28957,27513,26724,26181,26423,27053,28175,29272,32217,34108,34996,35174,33541,32226,31918,31623,32168,36819,38850,38827,38365,35693,33734,30537
2/13/2006,28059,26887,26627,26782,27857,31849,39536,46389,50593,51082,50548,49021,46352,47536,48483,48549,49254,52006,51791,49097,46589,42320,38541,35028
2/14/2006,32176,31183,30898,30673,31371,34287,41605,48229,51914,52572,52226,50246,47043,48148,49159,49731,50187,52950,52795,49857,46578,42776,39196,35924
2/15/2006,32680,31291,31111,30906,31547,34200,41293,48066,52078,52771,52434,50990,47726,49120,50144,50880,51376,53231,52458,49486,46755,42305,38738,34914
2/16/2006,32415,30855,30508,30383,31153,34156,41276,48011,51855,52953,52654,51376,47966,49162,50223,50880,51185,52284,51739,48644,46211,42602,38491,35344
2/17/2006,32643,31327,30607,30794,31187,34283,41053,47550,51245,51804,51147,49506,46455,47154,47919,48077,48345,50582,51773,48657,45637,42168,38482,34976
2/18/2006,31846,30579,29869,29630,29852,31055,34890,39156,42161,43217,42660,40559,37981,36511,36456,36362,37010,40698,42531,41322,38622,35936,33175,30760
2/19/2006,28152,26606,25835,25507,25709,26257,26934,28550,31329,33054,33790,34236,32746,31180,30992,30942,31551,35119,37508,37150,36344,34362,31919,29221
2/20/2006,27429,26103,25874,26048,27142,30898,37909,44621,48296,49387,49191,47862,45362,46616,47708,48193,48331,49793,49900,47344,44972,40970,37300,33976
2/21/2006,31636,30580,29855,29834,30767,33559,39933,46569,50190,51437,51013,49874,46655,47498,48514,49056,49403,50830,51080,48231,45566,41795,38094,34675
2/22/2006,32129,30690,30156,30131,31119,33847,40179,46412,50080,50924,50808,49564,46450,47538,48683,48590,48932,50627,51037,48066,45687,41686,37867,34164
2/23/2006,31874,30560,29604,29277,30294,33322,39426,46214,49924,50643,50826,49098,46233,46958,47998,48345,48917,50239,50847,47938,45704,41527,38265,34568
2/24/2006,32014,31006,30280,30005,30826,33769,39984,46528,50440,51494,51327,50024,46857,47685,48667,49192,49359,50663,50847,48371,45499,41769,38094,34616
2/25/2006,32469,31015,30065,29659,30186,31367,34878,39187,42268,43579,42855,41317,38270,36738,37074,37200,37756,40510,42782,41410,39018,36200,33631,30783
2/26/2006,28299,26882,26207,25831,25764,26231,26775,28338,31345,33207,33657,34025,32412,31032,30976,30171,30589,33264,37280,37213,36275,34678,32310,29612
2/27/2006,27392,26314,26071,26161,27305,31064,37417,44186,48853,49910,49900,48748,45979,47248,48567,48930,49231,50077,50480,47936,45641,41606,37636,34243
2/28/2006,31549,30372,29986,29770,30600,33442,38877,45656,49727,50981,50707,49093,46349,46600,47183,47674,47463,48485,50026,48006,45606,41589,37924,34570
3/1/2006,32519,31115,30828,30769,31472,34013,39571,46520,50116,50943,50792,49379,46328,47524,48240,48416,48461,49423,51198,48633,46196,42407,38456,34646
3/2/2006,32286,31171,30734,30886,31410,34283,39946,46796,50343,50987,50817,48956,46287,47112,48199,48429,48132,48917,51084,48749,46346,42604,38793,35186
3/3/2006,32890,31475,30963,30786,31693,34267,39934,46939,50768,51512,51064,49562,46125,46905,47821,47946,47984,49094,50951,48247,45462,41835,38157,34881
3/4/2006,32436,30994,30248,29809,30012,31086,34397,38925,42108,42819,42323,40416,37711,36297,36138,36198,37029,39526,42359,41159,38712,36116,33603,30919
3/5/2006,29065,27422,26367,25917,25974,26502,27137,28828,31694,33553,34459,34479,32869,31603,31438,31180,31331,33445,37465,37454,36559,34780,32507,29722
3/6/2006,27408,26332,26117,26238,27210,30808,37229,44050,48022,48557,48473,47271,44638,45761,46796,46995,46879,47697,50024,47638,44991,41036,37304,33675
3/7/2006,31390,30435,29819,29924,30777,33454,38765,45601,49648,50273,49875,48809,46001,46752,47885,48104,47853,48462,51169,48627,46028,41863,38290,34503
3/8/2006,32043,30816,30337,30171,31072,34039,39399,46405,49680,50675,50337,48715,45983,46806,47709,47814,48377,48841,51427,48813,45976,42384,38246,34538
3/9/2006,32323,30756,30196,30120,30959,33503,39227,46224,49720,50479,50184,48995,45517,46382,47368,47641,47671,47349,50235,48284,45589,41791,38297,34390
3/10/2006,31689,30655,29925,29878,30452,33412,38947,45595,48937,49727,49680,48379,45027,45574,46647,46789,47168,46513,49179,47314,44277,40711,37078,33666
3/11/2006,31245,29937,29333,29179,29070,29960,33165,38097,41487,42541,41999,40065,37576,36056,36016,35830,36051,37754,42097,40907,38461,35987,33082,30477
3/12/2006,28011,26470,25943,25438,25388,26083,26136,28557,31302,33366,34093,34380,32756,31711,31414,31164,31245,33319,37464,37874,37110,34678,32558,29730
3/13/2006,27146,26187,25819,25950,26899,30814,36660,43983,48194,49133,49016,48079,45213,46361,47475,47723,47459,47091,50100,47812,45693,41455,37275,33790
3/14/2006,31397,30415,29809,29800,30627,33401,38780,45776,49524,50015,49876,48691,45635,46506,47412,47548,47691,47414,50336,48173,46033,41738,37938,34444
3/15/2006,31782,30704,30182,30270,30663,34191,39058,45829,49405,50090,49616,48183,45466,46504,47137,47319,47546,47510,49920,48258,45777,41651,37979,34428
3/16/2006,31911,30864,30277,30125,31098,33684,39200,46208,49937,50505,50895,48672,45874,46942,47849,48063,48207,47845,50662,47976,45745,41806,37739,34965
3/17/2006,32149,30921,30151,30268,30943,33789,38646,45852,49088,49642,49348,47985,44990,45734,46295,46643,46215,45976,49926,47815,45138,41347,37994,34356
3/18/2006,31815,30571,29888,29493,29616,30932,33733,38604,41514,42308,41527,39919,36997,35732,35555,35472,36114,37569,42018,40965,38928,36011,33219,30953
3/19/2006,28142,26824,26266,25666,25856,26268,26469,28710,31544,33032,33703,34033,32455,30774,30888,30496,30733,32142,36653,37105,36331,34327,32079,29278
3/20/2006,27216,26261,26050,26010,27137,31022,36661,44162,47884,48456,48621,46897,44641,45663,46657,47152,47125,46711,48970,46997,45154,40793,36881,33837
3/21/2006,31333,30232,29865,29845,30319,33085,38034,45373,48987,49830,49740,48654,45598,46334,47359,48091,47916,47512,49534,47524,44925,41230,37549,34111
3/22/2006,31962,30870,30415,30357,31113,33418,38590,45790,49000,49735,49496,48415,45225,46040,47177,47386,47523,47183,49231,47664,44954,41182,37113,33747
3/23/2006,31489,30415,29913,29673,30439,32935,37949,44960,48254,48900,48739,47354,44393,45487,46260,46654,46633,46016,48796,47050,44492,40980,37577,33753
3/24/2006,31711,30293,29789,29681,30401,32142,37966,45247,48408,49268,49204,47537,45027,45865,46765,47199,47505,46659,49479,47000,44375,40887,37362,34128
3/25/2006,31641,30230,29415,29101,29476,30155,32910,37607,40919,41320,40882,38852,36436,34883,34793,34680,34914,35866,40742,40410,37671,35221,32628,30592
3/26/2006,29727,26273,,25922,25762,25846,26167,27094,29498,31540,32288,32614,31650,29905,29803,29044,28737,29188,31082,35457,35595,34053,31860,29111
3/27/2006,27052,25981,25405,25500,26240,29871,36261,42549,46646,47033,47311,45768,43307,44574,45381,45305,44780,43276,43107,45385,43821,40025,36528,33093
3/28/2006,30897,29647,29159,29093,29694,32245,37997,44295,48048,48904,48704,47070,44244,45550,46290,46414,45745,44505,44266,45580,43789,40472,36900,33278
3/29/2006,31024,29751,29377,29364,29907,32428,37564,43888,47014,47718,47210,45871,43476,44197,44915,44694,44301,42998,42292,44858,43967,40695,37301,33563
3/30/2006,31012,29766,29156,29082,29690,32325,37582,43721,46720,47391,46972,45595,43063,43923,44589,44628,43822,42403,42153,44621,43463,40182,36859,33922
3/31/2006,31324,29986,29447,29305,29933,32530,37810,44173,47328,47724,47157,45743,43103,43598,44404,44419,43606,41973,41571,44444,43198,39908,36887,33293
4/1/2006,30730,29254,28535,28186,28212,29420,32169,36428,38869,39890,39175,37949,35211,33926,33724,33471,33523,33843,35073,38315,36563,34300,32099,29446
4/2/2006,27495,25973,25239,24617,24801,25416,25678,27344,30119,31532,31855,31820,30557,29431,28906,28392,28087,28204,29455,33848,34572,32740,30582,27844
4/3/2006,26121,25487,25108,25202,26314,29651,35103,41707,45183,45691,45757,44450,42009,43509,44283,44446,44071,42518,41312,43829,43236,39546,36221,32899
4/4/2006,30702,29607,28901,28974,29803,32451,37026,43234,46392,47022,46708,45217,42657,43962,44549,44353,43982,42354,41444,44150,43349,40130,37218,33457
4/5/2006,30971,29470,28884,28990,29565,32237,37285,43533,47191,47422,47130,45741,43310,44289,45224,45462,45293,44412,44055,45166,43134,39759,36495,33084
4/6/2006,30855,29758,29260,28990,29670,32488,37522,43880,47718,48386,48110,46633,43949,44960,45673,45872,45644,43993,43467,44528,43502,40095,36855,33633
4/7/2006,31174,29878,29303,29116,29938,32495,37459,44055,47394,47971,47786,46333,43488,44271,45124,44890,44065,42212,42096,44006,43809,40331,36553,33405
4/8/2006,31165,29743,29106,28675,28685,30095,32256,36852,39903,40516,39496,37936,35703,34155,33878,33485,33337,33525,34505,37729,37516,35034,32501,29522
4/9/2006,27420,25940,25346,25184,24998,25674,25904,27800,30664,31909,31837,32210,30893,29641,29378,29063,28863,29488,30862,34321,34666,33220,30985,28248
4/10/2006,26539,25666,25393,25440,26435,30185,35780,42435,46513,47356,47386,46018,43730,44865,46055,46019,46080,44354,43261,44617,43399,39995,36243,33141
4/11/2006,30840,29896,29375,29176,29827,32254,37048,43585,47593,48106,47801,46762,43822,44560,45444,45754,45328,43570,42970,44300,43790,40310,36463,33416
4/12/2006,30840,29578,28977,28815,29474,31958,36995,43556,47214,47818,47391,45551,43325,44509,45154,45244,44484,43035,42220,43760,43691,40679,36757,33508
4/13/2006,31091,29951,29437,29294,29924,32219,36395,42761,47098,47658,47308,45650,43086,43983,44728,44582,44008,42292,41508,43120,43389,40375,36718,33693
4/14/2006,31146,29830,29273,28976,29524,31847,35195,41574,45536,45907,45485,44067,41408,41680,42060,41469,40841,39301,38840,40608,40975,37816,35079,31610
4/15/2006,29560,27835,26949,26786,26707,27097,27951,31708,34338,35103,34487,33532,31843,30544,30642,30436,30583,30957,31734,33943,33613,31477,28822,26312
4/16/2006,24062,22644,21894,21567,21397,21907,21799,23756,26266,27898,28251,28273,26217,23779,23535,23678,23385,23612,24474,27674,29430,28611,26945,24737
4/17/2006,22836,21694,21112,20874,21086,21769,21369,23331,25832,27421,27495,27382,26212,24812,24493,24052,23962,24534,26180,29339,30924,29675,27743,25284
4/18/2006,23432,22512,22142,22306,23546,27184,32094,38842,43598,45338,45578,44590,41999,42738,43092,43496,43333,41719,41216,42192,41962,38905,35513,31914
4/19/2006,29961,28769,28299,28185,28848,31326,35384,42087,45793,46550,46652,45157,42358,43382,44198,44314,43943,42195,41392,42617,42978,39699,36193,32685
4/20/2006,30505,29265,28944,28652,29110,31502,35862,42514,45857,46345,46204,45012,42332,43255,44033,43869,43642,42127,41432,42254,42853,39630,36529,33580
4/21/2006,31061,29762,29213,28842,29438,31608,35798,42203,45591,46330,45882,44711,42210,42678,43613,43669,43254,41748,40792,41498,42401,39327,36126,33193
4/22/2006,30526,29284,28492,28130,28198,28924,30823,35323,37906,38633,38333,36693,34472,33103,32997,32723,32731,32900,33142,35002,36155,34092,31512,28996
4/23/2006,26928,25743,24712,24429,24367,24694,24356,26366,28776,30085,30579,30593,29556,28398,27925,27275,27074,27405,28609,30993,33186,31928,29850,27585
4/24/2006,25593,24617,24145,24048,24442,26322,28799,33534,36603,37528,37346,37017,35247,35334,35773,35839,35575,35097,35124,36200,37636,35004,32280,29490
4/25/2006,27187,26083,25402,24953,24729,24666,24209,26229,28442,29863,30137,29919,28910,27830,27533,27171,27280,27992,29276,31678,33606,32424,30034,27615
4/26/2006,25620,24807,24193,24327,25406,28657,34046,40793,44736,45793,45801,44737,42273,43319,44345,44337,44062,42292,41438,41939,42110,39199,35491,32592
4/27/2006,30230,29384,28792,28504,29253,31403,35822,42233,45560,46317,46173,45334,42605,43454,44480,44565,44438,43166,42277,42653,42665,39285,36197,32926
4/28/2006,30628,29502,28761,28722,29295,31485,35572,42135,45429,46500,46249,45137,42459,43322,44186,44098,43664,42209,41312,41949,42357,38935,35758,32816
4/29/2006,30528,29224,28232,27952,28074,28542,30772,35013,38067,39026,38428,36995,34597,32872,32906,32842,32985,33118,33658,35135,35640,33670,31431,28725
4/30/2006,26623,25487,24833,24510,24468,24640,24686,26795,28991,30812,31161,31432,30506,29178,28787,28426,28080,28362,29040,30757,33122,31519,29608,27580
5/1/2006,24922,23492,22751,22222,22013,21590,21495,23540,25917,27324,27390,27363,26340,25383,24997,24493,24443,24847,26128,28502,31274,29854,27882,25261
5/2/2006,23451,22461,22220,22290,23596,26888,32996,39776,43710,44842,44799,43661,41482,42549,43393,43618,43594,41769,40619,40827,42280,39372,35770,32658
5/3/2006,30551,29428,28760,28806,29296,31073,35642,42077,45466,46230,46022,44693,42376,43374,44262,44306,43893,42219,40836,41103,42918,39908,36378,32962
5/4/2006,30631,29350,28910,28737,29235,30920,35615,41924,45280,45815,45924,44759,42295,42691,44169,44113,43980,42481,41291,41389,42786,39818,36583,33394
5/5/2006,30472,29428,28769,28592,29160,31108,35585,42348,45714,46633,46271,45204,42435,43336,44370,44170,43832,42097,41046,41023,41906,38936,36778,32529
5/6/2006,30737,29226,28409,28063,28111,28100,30857,35452,38299,39313,38715,37172,34705,33217,33108,32883,32795,33193,33519,34579,35824,33742,31503,29129
5/7/2006,26873,25341,24656,24426,24372,23576,24009,26145,28602,30248,30515,30665,29500,28366,28048,27500,27551,27964,28873,30690,33208,32062,29900,27671
5/8/2006,25794,24735,24335,24422,25558,27929,33735,40755,44084,44961,45002,43790,41981,43043,44122,44222,44047,42293,41188,41478,42576,39300,35668,32841
5/9/2006,30236,29135,28781,28357,29127,30746,35839,42130,45392,46003,46076,44311,41884,42694,43440,43645,43623,42135,41127,40434,41420,38765,35447,32460
5/10/2006,30583,29242,28972,28896,29303,30407,35617,41845,45403,46211,46028,44902,42463,43301,44254,44420,44408,42574,41720,41450,42729,39842,36290,32657
5/11/2006,30684,29412,28662,28701,29457,30719,35554,41760,45125,45913,45861,44644,42202,42920,43826,44016,43692,41756,41126,40575,41939,39758,36621,33254
5/12/2006,30870,29461,29081,28897,29549,30485,35568,41677,45188,45952,45908,45166,42414,43228,43957,43815,43604,42094,41102,41003,41973,39489,36146,33455
5/13/2006,31165,29312,28753,28469,28454,28223,31087,35774,38461,39400,38711,37217,35035,33814,33451,33140,33296,33324,33745,34267,35708,33782,31968,29424
5/14/2006,27260,25738,24943,24507,24472,23937,24516,26273,28882,30439,30813,30689,29615,28334,28019,27725,27566,27834,28834,30186,33157,32385,30385,27880
5/15/2006,26416,25368,25354,25324,26242,27891,34004,40403,44013,44921,45010,44208,42050,43357,44338,44445,44021,42081,41038,40683,42173,39922,36368,33407
5/16/2006,30500,29208,28816,28706,29144,30323,35390,41743,45151,46129,46111,44842,42635,43706,44836,44840,44698,42676,41587,41047,42398,39970,36376,33375
5/17/2006,31146,29813,29356,29127,29620,30557,35760,41880,44948,46033,46176,45051,42802,43948,44692,45195,45251,43465,42034,41136,42647,40420,37026,33626
5/18/2006,31241,30210,29480,29375,29979,30988,36097,42461,46105,46950,47078,46210,43689,44623,45165,45526,45462,43549,42290,41282,42828,40307,36960,33745
5/19/2006,31733,30355,29733,29759,30117,31011,35886,42506,46113,47063,47057,46141,43419,44377,45583,45613,45272,43395,41913,41387,42134,39750,37006,33812
5/20/2006,31547,30201,29545,28999,29075,29164,31545,36322,39401,40233,39925,38489,36038,34713,34309,34375,34559,34635,34891,35025,36164,34562,32573,30007
5/21/2006,27646,26254,25401,25067,25212,24003,24963,27103,29383,30995,31363,31430,30449,29108,28698,28602,28582,29019,29664,31009,33623,33090,31378,28996
5/22/2006,26661,25849,25509,25519,26646,28228,34160,40962,45006,46234,46621,45277,43581,44650,45814,46331,46059,44098,42437,41436,42671,40624,36925,33804
5/23/2006,31638,30154,29744,29621,30158,30874,36307,42918,46776,48357,48699,47616,45118,46060,47401,47589,47505,45924,44161,42933,43704,41096,37790,34570
5/24/2006,32279,30824,30561,30130,30731,31724,37012,43347,47386,48552,48454,47253,44409,45552,46862,47299,46941,45220,43320,42000,42973,40863,37490,34299
5/25/2006,31925,30722,29844,29788,30469,30960,36442,42542,46424,47397,47588,46397,43948,45030,46014,46174,45829,44003,42536,41369,42465,40922,37419,34251
5/26/2006,32287,30874,30223,29985,30578,31293,36387,42543,46268,47722,47537,46807,44309,44913,46037,45992,45770,44161,42468,40972,42007,40288,37269,34454
5/27/2006,32015,30578,29916,29398,29423,28622,32064,36370,39765,40860,40484,39068,36833,35285,35067,35097,35386,35197,35465,35545,36311,35117,33037,30427
5/28/2006,28556,27125,26148,25764,25836,24407,25669,27555,29786,31378,31715,31641,31000,29874,29439,29198,29374,29575,30494,30984,33333,33394,31863,29326
5/29/2006,27489,26560,26268,26263,27250,28893,34944,41570,45323,47212,47279,46281,44056,45513,46422,46414,46480,44637,43017,41565,42494,40496,37289,33850
5/30/2006,31798,30448,29981,29689,30295,31243,36701,43133,47037,48346,48415,47153,44422,45087,46103,46387,46404,44529,42889,41548,41940,40270,37008,33940
5/31/2006,31291,30070,29555,29505,29955,30401,35851,41971,45722,46865,46945,45960,43528,44494,45595,45601,45493,43903,42525,41430,41879,39916,36985,33753
6/1/2006,31473,30282,29714,29584,30212,30991,36055,41844,45437,46307,46295,45282,42733,43277,44042,44104,43891,42356,41099,40436,40780,38601,35674,32598
6/2/2006,30662,29098,28130,27553,27104,24840,25580,27647,29875,31512,32053,32019,30901,29727,29508,28923,29170,29469,30533,31115,32687,32379,30567,28040
6/3/2006,25969,25033,24490,24297,24876,24730,27403,31057,33896,34992,34940,34583,33324,32128,32190,31903,32178,32411,33119,33516,33951,33468,31398,29182
6/4/2006,26816,25432,24840,24534,24671,23138,24116,25958,28509,30191,30504,30545,29623,28614,28060,27650,27601,27878,28833,29983,32265,32373,30358,27739
6/5/2006,26047,24964,24726,24823,25638,27471,33514,40168,44024,44802,44897,44056,42369,43601,44297,44402,44434,42840,41614,40889,41529,39621,36592,33384
6/6/2006,31129,30067,29514,29485,30192,30671,35860,42397,46255,47098,47162,46048,43733,44582,45486,45880,45572,44036,42723,41726,42033,40139,37106,33998
6/7/2006,31474,30378,29885,29636,30156,30673,36070,42129,45926,46828,47158,45772,43635,44186,44898,45285,45006,43544,42127,41130,41582,40305,37126,33909
6/8/2006,31951,30479,29876,29822,30384,30760,36243,42349,46175,46799,46849,45765,43731,44296,45310,45219,45136,43479,42263,41244,41767,40235,37015,33884
6/9/2006,31762,30692,30221,29897,30452,31153,36202,42037,46067,47215,47168,46197,43587,44344,44969,45264,44978,43419,42320,41205,41049,40120,37309,33985
6/10/2006,31662,30176,29614,28981,29006,28366,31430,36084,38862,40150,39603,38363,36103,34564,34298,34350,34403,34729,34960,34857,35170,34757,32608,30238
6/11/2006,28245,26886,25796,25717,25616,24152,25136,26827,29434,30922,31341,31683,30697,29196,28974,28402,28330,28712,29589,30362,32096,32922,31086,28642
6/12/2006,26853,25811,25297,25406,26434,28193,34160,40435,44535,46014,45979,45073,43379,44413,45297,45595,45284,43382,41919,40934,40681,39296,37087,34061
6/13/2006,31775,30477,29846,29629,30277,30619,35835,42077,46444,47828,48051,46901,44798,45483,46416,46788,46816,44800,43281,41738,41970,41089,38381,35130
6/14/2006,32662,31425,30787,30695,31045,31460,36676,42690,47007,48303,48437,47842,45654,46336,47253,47689,47491,45592,43962,42474,42807,41388,38684,35209
6/15/2006,32897,31741,30946,30835,31226,31565,36922,42909,47340,48799,49173,48230,46036,47101,47929,48259,47911,46055,44262,42981,42980,41809,38954,35931
6/16/2006,33136,31737,31298,30859,31439,31719,37255,43155,47341,48957,49404,48376,45946,46743,47560,47588,47166,45361,43901,42775,42427,40933,38455,35443
6/17/2006,33292,31829,30876,30417,30483,29770,32704,37234,40388,42128,41752,40493,38703,36938,36326,36546,36760,36905,37166,36671,36593,36291,34267,31779
6/18/2006,29692,28143,27355,26906,26798,25314,26254,28611,30559,32450,32859,32996,32261,31073,30736,30478,30602,31463,32069,32537,34106,35183,33517,31281
6/19/2006,29082,27708,27114,27034,27915,29411,35495,42613,47176,48939,49596,49037,47264,48398,49077,49676,49498,47538,45754,44164,44140,43280,40123,36636
6/20/2006,33997,32567,32060,31763,32149,32706,37758,44508,49330,51121,51868,51446,49143,50554,51255,51775,51749,49563,47393,45771,45690,44323,41371,38050
6/21/2006,35114,33772,32794,32381,32774,33501,39064,45365,50211,52322,52893,52503,49942,51323,52076,52437,52232,50434,48536,46510,45934,44576,41702,39006
6/22/2006,35975,34072,33221,32825,33146,33836,39570,45980,50543,52505,53104,52829,50877,51134,51506,50861,50235,48833,47623,45953,45583,44780,41951,38769
6/23/2006,35905,34449,33680,33219,33698,33787,39237,45627,50253,52267,53295,53048,50801,51357,52106,52475,52368,50371,48043,46073,45632,44720,42258,38785
